Code,Tile,Author,URL,Year
ENG_11,Andersen's Fairy Tales,"Andersen, H. C. (Hans Christian)",https://www.gutenberg.org/ebooks/1597,1999
DRA_1,Plays,"Glaspell, Susan",https://www.gutenberg.org/ebooks/10623,2004
BIO_7,The Confessions of St. Augustine,"Augustine, Saint, Bishop of Hippo",https://www.gutenberg.org/ebooks/3296,2002
FIC_83,Swann's Way,"Proust, Marcel",https://www.gutenberg.org/ebooks/7178,2009
BIO_8,"Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana","Northup, Solomon",https://www.gutenberg.org/ebooks/45631,2014
DRA_12,The Sea-Gull,"Chekhov, Anton Pavlovich",https://www.gutenberg.org/ebooks/1754,2006
FIC_84,The Secret Adversary,"Christie, Agatha",https://www.gutenberg.org/ebooks/1155,2008
POE_6,"The vision of hell.: By Dante Alighieri.; Translated by Rev. Henry Francis Cary, M.A.; and illustrated with the seventy-five designs of Gustave Doré.",Dante Alighieri,https://www.gutenberg.org/ebooks/8789,2004
FIC_85,Noli Me Tangere,"Rizal, Jose",https://www.gutenberg.org/ebooks/20228,2006
FIC_86,The Castle of Otranto,"Walpole, Horace",https://www.gutenberg.org/ebooks/696,2012
ENG_12,"Lyrical Ballads, With a Few Other Poems (1798)","Wordsworth, William",https://www.gutenberg.org/ebooks/9622,2006
FIC_87,The Moonstone,"Collins, Wilkie",https://www.gutenberg.org/ebooks/155,2006
FIC_5,The Fall of the House of Usher,"Poe, Edgar Allan",https://www.gutenberg.org/ebooks/932,1997
FIC_88,The Age of Innocence,"Wharton, Edith",https://www.gutenberg.org/ebooks/541,1996
POE_7,The Aeneid,Virgil,https://www.gutenberg.org/ebooks/228,2008
FIC_89,"The Monkey's Paw: The Lady of the Barge and Others, Part 2.","Jacobs, W. W. (William Wymark)",https://www.gutenberg.org/ebooks/12122,2004
FAN_3,Alice's Adventures in Wonderland,"Carroll, Lewis",https://www.gutenberg.org/ebooks/19033,2006
FIC_90,The Secret Garden,"Burnett, Frances Hodgson",https://www.gutenberg.org/ebooks/113,2008
HIS_2,The History of the Peloponnesian War,Thucydides,https://www.gutenberg.org/ebooks/7142,2004
FIC_91,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",https://www.gutenberg.org/ebooks/86,2006
FIC_92,Carmilla,"Le Fanu, Joseph Sheridan",https://www.gutenberg.org/ebooks/10007,2003
FIC_93,"Eve's Diary, Complete","Twain, Mark",https://www.gutenberg.org/ebooks/8525,2004
FIC_94,Anthem,"Rand, Ayn",https://www.gutenberg.org/ebooks/1250,1998
FIC_95,A Room with a View,"Forster, E. M. (Edward Morgan)",https://www.gutenberg.org/ebooks/2641,2001
ENG_13,"The Divine Comedy by Dante, Illustrated, Paradise, Complete",Dante Alighieri,https://www.gutenberg.org/ebooks/8799,2004
FIC_96,"Pamela, or Virtue Rewarded","Richardson, Samuel",https://www.gutenberg.org/ebooks/6124,2004
FIC_97,This Side of Paradise,"Fitzgerald, F. Scott (Francis Scott)",https://www.gutenberg.org/ebooks/805,1997
ENG_14,"The Happy Prince, and Other Tales","Wilde, Oscar",https://www.gutenberg.org/ebooks/902,2015
ENG_15,An Essay on Man; Moral Essays and Satires,"Pope, Alexander",https://www.gutenberg.org/ebooks/2428,2007
