"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
PR,en,"England -- Fiction,Ghosts -- Fiction",The Canterville Ghost,Text,812,14522,455,https://www.gutenberg.org/ebooks/14522,1854,1900,"Wilde, Oscar",30,"December 30, 2004",12,December,2004,8,"application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain",13.5,10.97,7.26,1797,10.3,64.04,11.600000000000001,7.5,3.1,0.05970843680325472,0.49762155505365935,4.82,24.0,0.04,56107,368,476,16000.2,11650
PQ,en,"France -- History -- Louis XIV, 1643-1715 -- Fiction;Adventure and adventurers -- Fiction;Swordsmen -- Fiction;Historical fiction;Man in the Iron Mask -- Fiction;Romances",The Man in the Iron Mask,Text,808,2759,458,https://www.gutenberg.org/ebooks/2759,1802,1870,"Dumas, Alexandre",1,"August, 2001",8,August,2001,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.1,11.13,5.79,15002,7.2,72.16,8.4,26.0,3.1,0.10082532877097997,0.5046136623139329,4.95,16.0,0.06,859847,4268,10614,239931.0,173624
PR,en,"Songs, Scots -- Scotland -- Texts;Scotland -- Poetry",Poems and Songs of Robert Burns,Text,807,1279,459,https://www.gutenberg.org/ebooks/1279,1759,1796,"Burns, Robert",25,"January 25, 2005",1,January,2005,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",12.0,11.89,6.54,15835,7.2,77.57,9.600000000000001,53.0,3.1,0.12203986895544769,0.5337468050618565,5.03,19.0,0.05,640138,1272,6514,161552.7,127342
PS,en,"Political corruption -- Fiction,Political fiction,Satire,Legislators -- Fiction,Speculation -- Fiction,Washington (D.C.) -- Fiction,Businessmen -- Fiction",The Gilded Age: A Tale of Today,Text,800,3178,462,https://www.gutenberg.org/ebooks/3178,1835,1910,"Twain, Mark",1,"January 1, 1873",1,January,1873,8,"image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",10.4,10.62,6.07,15466,7.9,70.13,9.200000000000001,14.0,3.1,0.11789798177258652,0.5155528052503684,4.81,18.0,0.05,760584,4547,8599,216863.1,158279
PS,en,"Paranormal fiction,Domestic fiction,Haunted houses -- Fiction,Historical fiction,Salem (Mass.) -- Fiction",The House of the Seven Gables,Text,798,77,464,https://www.gutenberg.org/ebooks/77,1804,1864,"Hawthorne, Nathaniel",17,"June 17, 2008",6,June,2008,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",13.8,12.19,6.64,12383,11.1,56.59,11.200000000000001,1.0,3.1,0.09436506818949193,0.5022182675385541,5.03,23.0,0.04,527575,4143,4527,152637.3,104875
PS,en,"Women iron and steel workers -- Fiction,Feminism -- Fiction","Life in the Iron-Mills; Or, The Korl Woman",Text,796,876,466,https://www.gutenberg.org/ebooks/876,1831,1910,"Davis, Rebecca Harding",1,April 1997,4,April,1997,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",8.1,9.74,6.72,2222,5.2,82.65,7.6000000000000005,4.5,3.1,0.033002989415098806,0.5072631272631274,4.76,14.0,0.07,69916,245,1030,19215.9,14703
PZ,en,"Canada -- History -- 1914-1945 -- Fiction;Orphans -- Fiction;Prince Edward Island -- History -- 20th century -- Fiction;Shirley, Anne (Fictitious character) -- Fiction;Teachers -- Fiction;Islands -- Fiction",Anne of Avonlea,Text,793,47,468,https://www.gutenberg.org/ebooks/47,1874,1942,"Montgomery, L. M. (Lucy Maud)",7,"March 7, 2006",3,March,2006,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",7.5,9.16,5.67,7557,5.2,82.65,7.6000000000000005,10.5,3.1,0.09417784997218863,0.5085609030219368,4.66,14.0,0.07,413885,1475,6346,116844.3,88845
PR,en,"Monks -- Fiction,Gothic fiction (Literary genre),Madrid (Spain) -- Fiction,Horror tales",The Monk: A Romance,Text,791,601,470,https://www.gutenberg.org/ebooks/601,1775,1818,"Lewis, M. G. (Matthew Gregory)",1,"July, 1996",7,July,1996,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",11.1,11.31,5.98,12602,7.9,70.13,9.200000000000001,8.0,3.1,0.07487564396112127,0.5166978347351985,4.93,18.0,0.05,675505,4272,7345,196511.4,136959
F2301,es,"Venezuela -- History -- 1556-1810,Venezuela -- History -- To 1556","Historia de Venezuela, Tomo I",Text,789,39947,472,https://www.gutenberg.org/ebooks/39947,0,0,"Aguado, Pedro de, active 16th century",8,"June 8, 2012",6,June,2012,8,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",29.9,11.74,8.15,21812,25.1,14.64,24.400000000000002,16.5,13.0,0.09511154855643043,0.5507295963004639,4.85,56.0,0.02,962119,13540,3484,326816.1,198454
B,de,"Philosophy, German;Superman (Philosophical concept)",Also sprach Zarathustra: Ein Buch für Alle und Keinen,Text,789,7205,475,https://www.gutenberg.org/ebooks/7205,1844,1900,"Nietzsche, Friedrich Wilhelm",1,"January, 2005",1,January,2005,6,"text/html,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",11.7,13.91,6.31,10511,6.4,74.19,7.6000000000000005,58.0,3.1,0.22789224115165393,0.41418322295805765,5.48,14.0,0.07,459296,1898,5717,113239.8,83753
HV,en,"Lynching -- United States,Lynching -- United States -- Statistics,African Americans -- History -- 1877-1964",The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States,Text,786,14977,477,https://www.gutenberg.org/ebooks/14977,1862,1931,"Wells-Barnett, Ida B.",8,"February 8, 2005",2,February,2005,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",12.4,11.26,6.79,4576,9.1,67.08,10.4,11.5,3.1,0.01836182332561978,0.41745001845295354,4.92,21.0,0.05,168129,1138,1597,48411.0,34195
GN,en,"Religion -- Philosophy,Religion,Cults,Totemism,Rites and ceremonies",The Elementary Forms of the Religious Life,Text,786,41360,478,https://www.gutenberg.org/ebooks/41360,1858,1917,"Durkheim, Emile",13,"November 13, 2012",11,November,2012,7,"text/plain; charset=us-ascii,text/plain,text/plain; charset=iso-8859-1,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",13.6,12.25,5.73,13926,10.7,57.61,10.8,11.0,8.8,0.08385886102173148,0.4543397418270334,5.04,22.0,0.04,1104702,12794,9668,324092.7,219215
PS,en,"Fantasy fiction;American fiction -- 19th century;Horror tales, American;American poetry",The Works of Edgar Allan Poe — Volume 5,Text,784,2151,479,https://www.gutenberg.org/ebooks/2151,1809,1849,"Poe, Edgar Allan",19,"May 19, 2008",5,May,2008,8,"text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",13.5,12.07,7.17,11202,9.5,66.07,10.8,27.5,3.1,0.11159292904526778,0.5088978297089701,5.01,22.0,0.04,362481,2752,3194,102180.6,72342
PR,en,"Eve (Biblical figure) -- Poetry,Bible. Genesis -- History of Biblical events -- Poetry,Fall of man -- Poetry,Adam (Biblical figure) -- Poetry",Paradise Lost,Text,784,26,480,https://www.gutenberg.org/ebooks/26,1608,1674,"Milton, John",1,"February, 1992",2,February,1992,6,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",23.7,12.55,7.91,10866,17.7,44.75,19.200000000000003,10.5,3.1,0.13604753333888717,0.5239110844968548,4.99,43.0,0.02,400345,1276,1859,108386.1,80255
PG,en,"Christian fiction,Jesus Christ -- Fiction",The Grand Inquisitor,Text,782,8578,483,https://www.gutenberg.org/ebooks/8578,1821,1881,"Dostoyevsky, Fyodor",1,"July, 2005",7,July,2005,8,"text/html; charset=iso-8859-1,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",13.4,11.15,7.41,1609,9.9,65.05,11.200000000000001,8.5,3.1,0.12071208067377177,0.5387089354711372,4.85,23.0,0.04,46747,290,402,13360.5,9640
HD,en,"Businesspeople -- United States -- Biography;Automobiles -- History;Ford Motor Company -- History;Industrialists -- United States -- Biography;Automobile industry and trade -- United States -- History;Ford, Henry, 1863-1947",My Life and Work,Text,776,7213,490,https://www.gutenberg.org/ebooks/7213,1863,1947,"Ford, Henry",1,"January, 2005",1,January,2005,6,"text/html,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.3,10.33,5.92,8199,7.9,70.13,9.200000000000001,2.5,3.1,0.11906428817276578,0.471239023143641,4.76,18.0,0.05,443582,3868,5018,132825.6,93205
PT,de,"Buddhist philosophy -- Fiction,Religious fiction,Buddhism -- Fiction,India -- Fiction,Gautama Buddha -- Fiction",Siddhartha: eine indische Dichtung,Text,770,2499,491,https://www.gutenberg.org/ebooks/2499,1877,1962,"Hesse, Hermann",1,"February, 2001",2,February,2001,7,"text/html,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",13.3,13.92,6.85,5057,7.9,70.13,9.200000000000001,8.0,3.1,0.16666552569415113,0.6202702702702705,5.38,18.0,0.05,185055,735,1828,48660.3,34391
PS,en,"Fathers and daughters -- Fiction;Americans -- Italy -- Fiction;Married women -- Fiction;Italy -- Fiction;Triangles (Interpersonal relations) -- Fiction;Psychological fiction;Inheritance and succession -- Fiction;Archer, Isabel (Fictitious character) -- Fiction;Love stories",The Portrait of a Lady — Volume 1,Text,769,2833,492,https://www.gutenberg.org/ebooks/2833,1843,1916,"James, Henry",1,"September, 2001",9,September,2001,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",9.5,10.38,5.91,10961,7.2,72.16,8.4,19.0,3.1,0.14175661068015075,0.5158716017191702,4.82,16.0,0.06,563153,3677,7107,161989.2,116826
PR,en,"Science fiction,Second Advent -- Fiction",Lord of the World,Text,767,14021,493,https://www.gutenberg.org/ebooks/14021,1871,1914,"Benson, Robert Hugh",11,"November 11, 2004",11,November,2004,7,"text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.8,11.02,6.2,10498,7.9,70.13,9.200000000000001,14.0,3.1,0.07071893277975196,0.4724000723925543,4.88,18.0,0.05,485539,3025,5407,137738.7,99477
